link_meci,data_meci,echipa_gazda,echipa_oaspete,forma_puncte_gazda,forma_puncte_oaspete,h2h_victorii_gazda,h2h_gazda,medie_goluri_gazda,medie_goluri_oaspete,medie_goluri_primite_gazda,medie_goluri_primite_oaspete,medie_suturi_pe_poarta_gazda,medie_suturi_pe_poarta_oaspete,medie_total_suturi_gazda,medie_total_suturi_oaspete,medie_cornere_gazda,medie_cornere_oaspete,medie_cartonase_galbene_gazda,medie_cartonase_galbene_oaspete,medie_cartonase_rosii_gazda,medie_cartonase_rosii_oaspete,medie_ofsaiduri_gazda,medie_ofsaiduri_oaspete,medie_lovituri_libere_gazda,medie_lovituri_libere_oaspete,medie_interventii_portar_gazda,medie_interventii_portar_oaspete,medie_posesie_minge_gazda,medie_posesie_minge_oaspete,rezultat,loc_clasament_gazda,loc_clasament_oaspete
https://www.flashscore.ro/meci/fotbal/lps-hd-clinceni-Q7PNEIgJ/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=rPHni7Tq,2021-10-18,Univ. Craiova,LPS HD Clinceni,10,1,0,0.0,2.2,1.0,0.6,2.8,6.8,3.2,14.6,6.6,7.4,3.6,2.8,1.6,0.0,0.0,2.0,1.2,18.2,15.0,1.2,2.4,59.0,48.4,1,6,16
https://www.flashscore.ro/meci/fotbal/fcu-1948-craiova-nNhLpi8p/gaz-metan-p0uYHXwo/sumar/statistici/0/?mid=MZjfAnzM,2021-10-22,U Craiova 1948,Gaz Metan Mediaș,2,3,0,0.0,0.2,1.0,1.0,1.5,0.8,2.2,3.0,4.2,2.8,4.0,2.5,3.0,0.0,0.0,1.0,1.5,15.5,16.0,2.0,2.5,40.8,44.5,1,13,12
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=viXQ4Qcq,2021-10-22,Chindia Târgoviște,Univ. Craiova,7,6,0,1.0,1.2,1.0,0.8,0.8,2.8,5.5,6.2,14.2,3.0,4.8,3.8,3.0,0.0,0.0,0.8,1.5,16.0,14.2,1.8,2.0,43.2,58.8,2,10,4
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/fc-voluntari-WIoSeFi4/sumar/statistici/0/?mid=SCDLQ7K2,2021-10-23,FC Voluntari,FC Argeș,12,10,0,0.0,2.0,1.2,0.2,0.0,5.5,2.8,9.5,5.5,2.8,3.8,3.8,3.5,0.0,0.0,2.0,5.0,13.2,20.0,2.5,1.2,46.2,48.8,2,3,6
https://www.flashscore.ro/meci/fotbal/dacia-mioveni-WSNaPsAg/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=IsWU3pDk,2021-10-23,CS Mioveni,FC Botoșani,4,11,0,0.0,0.2,1.4,0.5,0.8,1.8,3.8,6.8,7.6,3.2,2.4,2.8,2.8,0.0,0.0,3.2,2.2,15.2,15.4,2.2,3.2,45.8,47.4,0,11,5
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/rapid-bucuresti-YFCpigVG/sumar/statistici/0/?mid=SCijBSKF,2021-10-23,Dinamo București,Rapid București,4,8,0,0.0,1.2,1.8,1.6,1.0,3.4,4.8,8.8,7.2,4.4,2.2,3.0,4.5,0.0,0.0,1.2,1.5,16.0,13.2,3.8,2.5,49.8,42.2,0,15,8
https://www.flashscore.ro/meci/fotbal/fc-uta-arad-QDiPqBNj/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=Y9fb96kS,2021-10-25,LPS HD Clinceni,UTA Arad,2,5,0,0.0,0.8,1.0,1.2,1.0,2.0,3.8,8.8,7.2,3.8,4.0,3.8,3.0,0.0,0.0,1.2,2.5,15.8,14.8,0.2,1.8,48.0,51.2,2,16,7
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/sepsi-IDsPIcMA/sumar/statistici/0/?mid=Q7Zx2Os2,2021-10-25,CFR Cluj,Sepsi Sf. Gheorghe,12,3,0,0.0,2.0,0.5,0.5,0.8,5.0,5.0,8.5,9.8,5.8,5.0,2.0,3.8,0.0,0.0,2.2,2.2,15.5,20.0,1.2,3.0,52.0,47.5,1,2,14
https://www.flashscore.ro/meci/fotbal/farul-constanta-CrJbN1Pa/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=jBI0H3sk,2021-10-29,FC Botoșani,Farul Constanța,8,1,0,0.0,0.8,0.4,0.8,1.4,5.6,2.6,10.4,7.2,4.4,6.6,2.0,1.6,0.0,0.0,1.4,2.4,13.4,11.4,1.8,2.2,56.0,60.0,2,6,9
https://www.flashscore.ro/meci/fotbal/dacia-mioveni-WSNaPsAg/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=dlJdIqSr,2021-10-30,Univ. Craiova,CS Mioveni,13,4,0,0.0,3.0,0.6,0.2,2.0,8.4,2.0,16.6,6.2,7.8,3.2,1.8,3.4,0.0,0.0,2.4,1.2,17.4,15.0,1.8,2.4,63.0,48.4,1,2,11
